Species A,Species B,Family,Time (MY),Range size A (millions km2),Range size B (millions km2),Overlap (millions km2),Mass A (kg),Mass B (kg)
Alopex lagopus,Vulpes velox,Canidae,0.9,16.99,2.46,0.00,3.60,2.14
Canis adustus,Canis aureus,Canidae,0.8,10.58,25.74,2.94,10.40,9.68
Canis lupus,Canis rufus,Canidae,0.3,50.80,1.99,0.00,35.00,26.70
Urocyon cinereoargenteus,Urocyon littoralis,Canidae,2.2,9.01,0.00,0.00,3.83,1.92
Vulpes cana,Vulpes zerda,Canidae,1.2,2.16,6.96,0.09,1.00,1.32
Vulpes corsac,Vulpes ferrilata,Canidae,0.8,6.38,2.34,0.17,2.62,5.54
Vulpes rueppellii,Vulpes vulpes,Canidae,0.8,11.67,63.03,2.98,3.25,4.84
Catopuma badia,Catopuma temminckii,Felidae,5.5,0.26,3.44,0.00,3.43,7.74
Felis bieti,Felis chaus,Felidae,2.1,0.38,8.99,0.00,5.49,7.17
Felis margarita,Felis nigripes,Felidae,2.9,12.14,1.73,0.00,2.82,1.36
Herpailurus yaguarondi,Puma concolor,Felidae,10.5,15.10,22.35,13.67,6.88,53.90
Leopardus pardalis,Leopardus wiedii,Felidae,5.3,16.04,12.40,12.34,11.90,3.27
Lynx canadensis,Lynx lynx,Felidae,2.9,8.25,23.83,0.00,9.77,19.30
Oncifelis colocolo,Oreailurus jacobita,Felidae,2.5,3.43,0.93,0.55,4.40,8.13
Panthera leo,Panthera pardus,Felidae,4.6,11.24,29.34,11.02,159.00,52.40
Prionailurus bengalensis,Prionailurus viverrinus,Felidae,7.2,10.20,3.55,3.48,2.79,8.83
Cynictis penicillata,Paracynictis selousi,Herpestidae,3.8,2.23,2.10,0.22,0.69,1.67
Galidictis fasciata,Galidictis grandidieri,Herpestidae,5.1,0.09,0.00,0.00,0.55,1.40
Helogale hirtula,Helogale parvula,Herpestidae,5.7,1.08,6.94,1.08,0.49,0.29
Herpestes edwardsii,Herpestes javanicus,Herpestidae,4.9,3.63,6.88,1.77,1.31,0.77
Mungos gambianus,Mungos mungo,Herpestidae,3.6,1.73,15.89,1.39,1.64,1.26
Aonyx capensis,Aonyx congicus,Mustelidae,2.4,12.13,4.10,2.07,19.00,21.60
Arctonyx collaris,Meles meles,Mustelidae,3.6,4.52,26.79,2.37,8.17,11.90
Conepatus humboldtii,Conepatus semistriatus,Mustelidae,3.8,0.71,2.03,0.00,1.10,2.02
Galictis cuja,Galictis vittata,Mustelidae,4.4,4.56,10.08,0.00,1.00,2.79
Ictonyx libyca,Ictonyx striatus,Mustelidae,3.6,12.29,16.69,3.79,0.21,0.81
Lontra felina,Lontra provocax,Mustelidae,0.9,0.72,0.80,0.12,11.20,7.50
Lutra lutra,Lutra sumatrana,Mustelidae,2.6,26.18,1.33,0.61,8.86,5.97
Martes americana,Martes melampus,Mustelidae,5.9,7.62,0.38,0.00,0.88,1.00
Martes flavigula,Martes gwatkinsii,Mustelidae,4.2,5.26,0.01,0.00,2.50,2.04
Mephitis macroura,Mephitis mephitis,Mustelidae,4.0,1.79,12.28,0.71,1.10,2.40
Mustela africana,Mustela felipei,Mustelidae,2.2,4.35,0.00,0.00,0.54,0.21
Mustela altaica,Mustela erminea,Mustelidae,5.3,7.65,39.72,3.34,0.18,0.28
Mustela eversmannii,Mustela nigripes,Mustelidae,1.7,16.55,2.52,0.00,1.69,0.91
Mydaus javanensis,Mydaus marchei,Mustelidae,5.7,0.76,0.01,0.00,2.50,2.50
Spilogale putorius,Spilogale pygmaea,Mustelidae,4.0,6.79,0.10,0.00,0.57,0.37
Bassariscus astutus,Bassariscus sumichrasti,Procyonidae,4.5,3.92,0.63,0.10,1.02,0.91
Nasua narica,Nasua nasua,Procyonidae,5.4,2.33,10.70,0.00,4.58,3.79
Helarctos malayanus,Melursus ursinus,Ursidae,8.3,2.53,0.42,0.00,57.00,98.90
Ursus arctos,Ursus maritimus,Ursidae,1.8,23.97,20.44,1.57,196.00,375.00
Arctictis binturong,Paguma larvata,Viverridae,4.6,2.91,5.42,2.23,13.00,4.30
Eupleres goudotii,Fossa fossana,Viverridae,7.8,0.11,0.11,0.08,2.80,1.86
Genetta abyssinica,Genetta thierryi,Viverridae,2.7,0.42,2.29,0.00,1.41,1.40
Genetta angolensis,Genetta maculata,Viverridae,3.2,2.09,13.93,2.08,1.86,1.95
Genetta genetta,Genetta tigrina,Viverridae,5.0,17.77,0.59,0.41,1.78,2.07
Genetta servalina,Genetta victoriae,Viverridae,6.7,3.88,0.66,0.66,1.31,2.74
Paradoxurus jerdoni,Paradoxurus zeylonensis,Viverridae,4.5,0.01,0.01,0.00,3.58,2.83
Prionodon linsang,Prionodon pardicolor,Viverridae,2.7,1.20,1.10,0.00,0.69,1.14
Viverra civettina,Viverra megaspila,Viverridae,3.1,0.01,1.60,0.00,12.10,9.06
Viverra tangalunga,Viverra zibetha,Viverridae,3.4,1.30,4.06,0.11,7.35,9.15
