Species A,Species B,M1 A (mm),M1 B (mm),pm4 A (mm),pm4 B (mm),Canine diameter A (mm),Canine diameter B (mm)
Alopex lagopus,Vulpes velox,13.92,11.65,12.16,9.90,6.37,4.43
Canis adustus,Canis aureus,16.04,18.37,13.28,16.44,6.82,7.88
Canis lupus,Canis rufus,28.58,23.29,24.75,21.06,14.11,10.40
Urocyon cinereoargenteus,Urocyon littoralis,11.82,10.53,9.99,9.04,4.84,4.47
Vulpes cana,Vulpes zerda,9.48,8.14,8.51,7.49,3.40,3.18
Vulpes corsac,Vulpes ferrilata,12.67,14.77,12.01,13.38,6.05,7.88
Vulpes rueppellii,Vulpes vulpes,11.95,15.16,10.33,13.33,4.74,6.71
Catopuma badia,Catopuma temminckii,8.78,12.02,11.43,15.72,5.11,7.39
Felis bieti,Felis chaus,9.46,10.36,11.8,13.20,5.24,5.80
Felis margarita,Felis nigripes,7.41,6.52,10.29,9.41,4.62,3.62
Herpailurus yaguarondi,Puma concolor,9.69,16.75,12.57,22.28,5.67,13.27
Leopardus pardalis,Leopardus wiedii,11.80,8.47,15.91,11.34,8.67,5.40
Lynx canadensis,Lynx lynx,12.79,15.12,15.95,18.31,7.12,8.90
Oncifelis colocolo,Oreailurus jacobita,8.70,11.00,11.54,13.40,5.39,6.02
Panthera leo,Panthera pardus,25.97,17.52,35.60,24.03,23.36,13.72
Prionailurus bengalensis,Prionailurus viverrinus,7.70,10.64,9.87,14.27,4.44,8.10
Cynictis penicillata,Paracynictis selousi,5.46,6.00,5.81,6.23,3.40,3.64
Galidictis fasciata,Galidictis grandidieri,5.57,7.12,6.35,8.09,4.54,5.54
Helogale hirtula,Helogale parvula,4.56,3.77,4.70,3.92,3.08,2.63
Herpestes edwardsii,Herpestes javanicus,6.64,5.69,7.41,6.21,3.73,3.13
Mungos gambianus,Mungos mungo,4.30,5.27,4.32,5.45,3.19,3.82
Aonyx capensis,Aonyx congicus,15.58,12.01,11.40,9.12,8.21,7.67
Arctonyx collaris,Meles meles,15.11,16.23,8.36,8.59,7.47,7.17
Conepatus humboldtii,Conepatus semistriatus,8.71,11.48,6.96,8.23,4.06,4.89
Galictis cuja,Galictis vittata,7.33,10.54,7.18,9.56,3.78,5.07
Ictonyx libyca,Ictonyx striatus,5.74,7.14,5.49,7.18,2.33,3.45
Lontra felina,Lontra provocax,12.89,15.25,10.83,12.45,5.26,6.30
Lutra lutra,Lutra sumatrana,13.05,12.38,10.98,11.94,5.83,5.72
Martes americana,Martes melampus,9.32,10.30,8.04,8.84,4.30,4.65
Martes flavigula,Martes gwatkinsii,9.56,8.64,8.95,8.61,4.99,4.85
Mephitis macroura,Mephitis mephitis,8.53,9.94,6.82,7.30,3.13,4.34
Mustela africana,Mustela felipei,6.04,5.39,5.50,4.83,2.57,2.36
Mustela altaica,Mustela erminea,5.06,4.86,4.77,4.38,1.98,1.95
Mustela eversmannii,Mustela nigripes,8.55,8.29,8.11,7.40,4.21,4.16
Mydaus javanensis,Mydaus marchei,8.20,8.73,5.40,5.22,4.79,3.58
Spilogale putorius,Spilogale pygmaea,7.00,6.25,6.34,4.93,2.99,2.69
Bassariscus astutus,Bassariscus sumichrasti,7.31,7.82,6.88,6.75,3.16,4.69
Nasua narica,Nasua nasua,8.83,7.86,7.29,6.76,5.73,5.19
Helarctos malayanus,Melursus ursinus,16.41,16.73,10.26,11.23,21.83,17.48
Ursus arctos,Ursus maritimus,23.71,19.64,16.72,13.59,18.61,19.55
Arctictis binturong,Paguma larvata,8.69,10.17,6.93,8.49,7.90,6.27
Eupleres goudotii,Fossa fossana,4.59,8.28,4.31,8.27,1.55,4.36
Genetta abyssinica,Genetta thierryi,5.79,6.47,6.55,7.29,2.92,3.39
Genetta angolensis,Genetta maculata,7.82,6.99,8.22,7.70,3.73,3.74
Genetta genetta,Genetta tigrina,7.31,7.56,8.02,8.47,3.58,3.95
Genetta servalina,Genetta victoriae,6.27,9.00,6.98,9.38,3.41,4.98
Paradoxurus jerdoni,Paradoxurus zeylonensis,8.37,8.85,8.76,7.57,5.79,5.42
Prionodon linsang,Prionodon pardicolor,5.95,6.01,6.45,6.48,2.52,2.56
Viverra civettina,Viverra megaspila,13.60,13.37,14.25,14.04,7.84,6.89
Viverra tangalunga,Viverra zibetha,10.46,13.45,10.76,13.83,5.27,6.30
